node_id,demand_sum,fulfilled_sum,onhand_avg,backlog_ext_avg,backlog_child_avg,pipeline_avg,orders_var,orders_mean,demand_var,fill_rate,bullwhip_ratio
R1,13236,13152,151.7111111111111,0.9333333333333333,0.0,290.15555555555557,1327.72584269663,147.06666666666666,1327.72584269663,0.9936536718041704,1.0
R2,8217,8163,120.85555555555555,0.6,0.0,269.44444444444446,441.42584269662916,91.3,441.42584269662916,0.9934282584884995,1.0
R3,21393,21250,191.46666666666667,1.5888888888888888,0.0,929.4222222222222,2555.223595505619,237.7,2548.392134831462,0.9933155705137194,1.00268069445859
Supplier,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
W1,0,0,354.4555555555556,0.0,0.0,1145.1,3287.957553058675,236.44444444444446,0.0,,
W2,0,0,254.0,0.0,0.4222222222222222,1359.8666666666666,3162.968789013735,235.55555555555554,0.0,,
_OVERALL_,42846,42565,178.74814814814815,0.5203703703703703,0.07037037037037037,665.6648148148148,1795.883603828548,158.01111111111112,719.5906367041202,0.993441628156654,2.495701739608621
