t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
9,R2,32,0,0,336,113,106,EOD,113,113,4.29,0.0,0.0,0.0,4.29
9,R3,143,0,0,990,224,154,EOD,224,224,4.29,0.0,0.0,0.0,4.29
10,Supplier,0,0,0,0,0,0,EOD,0,0,5.1,0.0,0.0,0.0,5.1
10,W1,357,0,0,1171,208,188,EOD,0,0,5.1,0.0,0.0,0.0,5.1
10,W2,293,0,0,1332,224,153,EOD,0,0,5.1,0.0,0.0,0.0,5.1
10,R1,232,0,0,260,96,176,EOD,96,96,5.1,0.0,0.0,0.0,5.1
10,R2,17,0,0,358,106,91,EOD,106,106,5.1,0.0,0.0,0.0,5.1
10,R3,170,0,0,1003,184,211,EOD,184,184,5.1,0.0,0.0,0.0,5.1
11,Supplier,0,0,0,0,0,0,EOD,0,0,5.64,0.0,0.0,0.0,5.64
11,W1,320,0,0,1214,202,165,EOD,0,0,5.64,0.0,0.0,0.0,5.64
11,W2,297,0,0,1368,184,188,EOD,0,0,5.64,0.0,0.0,0.0,5.64
11,R1,290,0,0,191,107,165,EOD,107,107,5.64,0.0,0.0,0.0,5.64
11,R2,68,0,0,315,98,149,EOD,98,98,5.64,0.0,0.0,0.0,5.64
11,R3,188,0,0,983,186,204,EOD,186,186,5.64,0.0,0.0,0.0,5.64
12,Supplier,0,0,0,0,0,0,EOD,0,0,9.9,0.0,0.0,0.0,9.9
12,W1,334,0,0,1197,205,219,EOD,0,0,9.9,0.0,0.0,0.0,9.9
12,W2,265,0,0,1398,186,154,EOD,0,0,9.9,0.0,0.0,0.0,9.9
12,R1,266,0,0,203,119,95,EOD,119,119,9.9,0.0,0.0,0.0,9.9
12,R2,71,0,0,317,93,96,EOD,93,93,9.9,0.0,0.0,0.0,9.9
12,R3,330,0,0,870,157,299,EOD,157,157,9.9,0.0,0.0,0.0,9.9
13,Supplier,0,0,0,0,0,0,EOD,0,0,10.65,0.0,0.0,0.0,10.65
